state	year	m	f
MD	1918	William	Mary
ME	1918	John	Mary
MI	1918	John	Mary
MN	1918	John	Dorothy
MO	1918	William	Mary
MS	1918	James	Mary
MT	1918	John	Mary
NC	1918	James	Mary
ND	1918	John	Helen
NE	1918	John	Mary
NH	1918	John	Mary
NJ	1918	John	Mary
NM	1918	Jose	Mary
NV	1918	John	Mary
NY	1918	John	Mary
OH	1918	Robert	Mary
OK	1918	James	Mary
OR	1918	Robert	Dorothy
PA	1918	John	Mary
RI	1918	John	Mary
SC	1918	James	Mary
SD	1918	Robert	Mary
TN	1918	James	Mary
TX	1918	James	Mary
UT	1918	William	Mary
VA	1918	James	Mary
VT	1918	Robert	Mary
WA	1918	Robert	Mary
WI	1918	Robert	Dorothy
WV	1918	William	Mary
WY	1918	John	Mary
AK	1919	John	Mary
AL	1919	James	Mary
AR	1919	James	Mary
AZ	1919	John	Mary
CA	1919	Robert	Mary
CO	1919	John	Mary
CT	1919	John	Mary
DE	1919	William	Mary
FL	1919	James	Mary
GA	1919	James	Mary
HI	1919	John	Mary
IA	1919	Robert	Mary
ID	1919	Robert	Mary
IL	1919	John	Mary
IN	1919	Robert	Mary
KS	1919	John	Mary
KY	1919	James	Mary
LA	1919	John	Mary
MA	1919	John	Mary
MD	1919	William	Mary
ME	1919	John	Mary
MI	1919	Robert	Mary
MN	1919	Robert	Dorothy
MO	1919	William	Mary
MS	1919	James	Mary
MT	1919	John	Mary
NC	1919	James	Mary
ND	1919	John	Helen
NE	1919	Robert	Mary
NH	1919	Robert	Mary
NJ	1919	John	Mary
NM	1919	Jose	Mary
NV	1919	Robert	Mary
NY	1919	John	Mary
OH	1919	Robert	Mary
OK	1919	James	Mary
OR	1919	Robert	Mary
PA	1919	John	Mary
RI	1919	John	Mary
SC	1919	James	Mary
SD	1919	Robert	Helen
TN	1919	James	Mary
TX	1919	James	Mary
UT	1919	John	Mary
VA	1919	James	Mary
VT	1919	Robert	Mary
WA	1919	Robert	Mary
WI	1919	Robert	Dorothy
WV	1919	James	Mary
WY	1919	John	Mary
AK	1920	John	Mary
AL	1920	James	Mary
AR	1920	James	Mary
AZ	1920	John	Mary
CA	1920	Robert	Mary
CO	1920	Robert	Mary
CT	1920	John	Mary
DE	1920	William	Mary
FL	1920	James	Mary
GA	1920	James	Mary
HI	1920	John	Mary
IA	1920	Robert	Mary
ID	1920	Robert	Mary
IL	1920	Robert	Mary
IN	1920	Robert	Mary
KS	1920	Robert	Mary
KY	1920	James	Mary
LA	1920	John	Mary
MA	1920	John	Mary
MD	1920	William	Mary
ME	1920	Robert	Mary
MI	1920	Robert	Mary
MN	1920	Robert	Dorothy
MO	1920	William	Mary
MS	1920	James	Mary
MT	1920	Robert	Mary
NC	1920	James	Mary
ND	1920	John	Helen
NE	1920	Robert	Dorothy
NH	1920	Robert	Mary
NJ	1920	John	Mary
NM	1920	Jose	Mary
NV	1920	Robert	Mary
NY	1920	John	Mary
OH	1920	Robert	Mary
OK	1920	James	Mary
OR	1920	Robert	Dorothy
PA	1920	John	Mary
RI	1920	John	Mary
SC	1920	James	Mary
SD	1920	Robert	Dorothy
TN	1920	James	Mary
TX	1920	James	Mary
UT	1920	Robert	Mary
VA	1920	James	Mary
VT	1920	Robert	Mary
WA	1920	Robert	Mary
WI	1920	Robert	Dorothy
WV	1920	James	Mary
WY	1920	Robert	Mary
AK	1921	John	Mary
AL	1921	James	Mary
AR	1921	James	Mary
AZ	1921	John	Mary
CA	1921	Robert	Mary
CO	1921	Robert	Mary
CT	1921	John	Mary
DE	1921	William	Mary
FL	1921	James	Mary
GA	1921	James	Mary
HI	1921	George	Mary
IA	1921	Robert	Mary
ID	1921	Robert	Mary
IL	1921	Robert	Mary
IN	1921	Robert	Mary
KS	1921	Robert	Mary
KY	1921	James	Mary
LA	1921	James	Mary
MA	1921	John	Mary
MD	1921	William	Mary
ME	1921	Robert	Mary
MI	1921	Robert	Mary
MN	1921	Robert	Dorothy
MO	1921	William	Mary
MS	1921	James	Mary
MT	1921	Robert	Mary
NC	1921	James	Mary
ND	1921	John	Mary
NE	1921	Robert	Mary
NH	1921	Robert	Mary
NJ	1921	John	Mary
NM	1921	Jose	Mary
NV	1921	John	Mary
NY	1921	John	Mary
OH	1921	Robert	Mary
OK	1921	James	Mary
OR	1921	Robert	Mary
PA	1921	John	Mary
RI	1921	John	Mary
SC	1921	James	Mary
SD	1921	Robert	Dorothy
TN	1921	James	Mary
TX	1921	James	Mary
UT	1921	Robert	Mary
VA	1921	James	Mary
VT	1921	Robert	Mary
WA	1921	Robert	Mary
WI	1921	Robert	Dorothy
WV	1921	James	Mary
WY	1921	Robert	Mary
AK	1922	Robert	Mary
AL	1922	James	Mary
AR	1922	James	Mary
AZ	1922	John	Mary
CA	1922	Robert	Mary
CO	1922	Robert	Mary
CT	1922	John	Mary
DE	1922	William	Mary
FL	1922	James	Mary
GA	1922	James	Mary
HI	1922	John	Mary
IA	1922	Robert	Mary
ID	1922	Robert	Mary
IL	1922	Robert	Mary
IN	1922	Robert	Mary
KS	1922	Robert	Mary
KY	1922	James	Mary
LA	1922	James	Mary
MA	1922	John	Mary
MD	1922	William	Mary
ME	1922	Robert	Mary
MI	1922	Robert	Mary
MN	1922	Robert	Dorothy
MO	1922	James	Mary
MS	1922	James	Mary
MT	1922	Robert	Mary
NC	1922	James	Mary
ND	1922	Robert	Dorothy
NE	1922	Robert	Dorothy
NH	1922	Robert	Mary
NJ	1922	John	Mary
NM	1922	Jose	Mary
NV	1922	John	Mary
NY	1922	John	Mary
OH	1922	Robert	Mary
OK	1922	James	Mary
OR	1922	Robert	Mary
PA	1922	John	Mary
RI	1922	John	Mary
SC	1922	James	Mary
SD	1922	Robert	Dorothy
TN	1922	James	Mary
TX	1922	James	Mary
UT	1922	Robert	Mary
VA	1922	James	Mary
VT	1922	Robert	Mary
WA	1922	Robert	Mary
WI	1922	Robert	Dorothy
WV	1922	James	Mary
WY	1922	John	Mary
AK	1923	John	Mary
AL	1923	James	Mary
AR	1923	James	Mary
AZ	1923	John	Mary
CA	1923	Robert	Mary
CO	1923	Robert	Mary
CT	1923	John	Mary
DE	1923	William	Mary
FL	1923	James	Mary
GA	1923	James	Mary
HI	1923	George	Mary
IA	1923	Robert	Mary
ID	1923	Robert	Mary
IL	1923	Robert	Mary
IN	1923	Robert	Mary
KS	1923	Robert	Mary
KY	1923	James	Mary
LA	1923	John	Mary
MA	1923	John	Mary
MD	1923	William	Mary
ME	1923	Robert	Mary
MI	1923	Robert	Mary
MN	1923	Robert	Dorothy
MO	1923	Robert	Mary
MS	1923	James	Mary
MT	1923	Robert	Mary
NC	1923	James	Mary
ND	1923	John	Mary
NE	1923	Robert	Betty
NH	1923	Robert	Mary
NJ	1923	John	Mary
NM	1923	Jose	Mary
NV	1923	Robert	Mary
NY	1923	John	Mary
OH	1923	Robert	Mary
OK	1923	James	Mary
OR	1923	Robert	Mary
PA	1923	John	Mary
RI	1923	John	Mary
SC	1923	James	Mary
SD	1923	Robert	Mary
TN	1923	James	Mary
TX	1923	James	Mary
UT	1923	Robert	Mary
VA	1923	James	Mary
VT	1923	Robert	Mary
WA	1923	Robert	Betty
WI	1923	Robert	Dorothy
WV	1923	James	Mary
WY	1923	Robert	Mary
AK	1924	John	Mary
AL	1924	James	Mary
AR	1924	James	Mary
AZ	1924	John	Mary
CA	1924	Robert	Mary
CO	1924	Robert	Mary
CT	1924	John	Mary
DE	1924	William	Mary
FL	1924	James	Mary
GA	1924	James	Mary
HI	1924	John	Mary
IA	1924	Robert	Mary
ID	1924	Robert	Mary
IL	1924	Robert	Mary
IN	1924	Robert	Mary
KS	1924	Robert	Mary
KY	1924	James	Mary
LA	1924	James	Mary
MA	1924	John	Mary
MD	1924	William	Mary
ME	1924	Robert	Mary
MI	1924	Robert	Mary
MN	1924	Robert	Mary
MO	1924	Robert	Mary
MS	1924	James	Mary
MT	1924	Robert	Mary
NC	1924	James	Mary
ND	1924	Robert	Mary
NE	1924	Robert	Betty
NH	1924	Robert	Mary
NJ	1924	John	Mary
NM	1924	Jose	Mary
NV	1924	Robert	Mary
NY	1924	John	Mary
OH	1924	Robert	Mary
OK	1924	James	Mary
OR	1924	Robert	Betty
PA	1924	John	Mary
RI	1924	John	Mary
SC	1924	James	Mary
SD	1924	Robert	Mary
TN	1924	James	Mary
TX	1924	James	Mary
UT	1924	Robert	Betty
VA	1924	James	Mary
VT	1924	Robert	Mary
WA	1924	Robert	Betty
WI	1924	Robert	Dorothy
WV	1924	James	Mary
WY	1924	Robert	Mary
AK	1925	John	Mary
AL	1925	James	Mary
AR	1925	James	Mary
AZ	1925	John	Mary
CA	1925	Robert	Mary
CO	1925	Robert	Mary
CT	1925	John	Mary
DE	1925	William	Mary
FL	1925	James	Mary
GA	1925	James	Mary
HI	1925	George	Mary
IA	1925	Robert	Mary
ID	1925	Robert	Betty
IL	1925	Robert	Mary
IN	1925	Robert	Mary
KS	1925	Robert	Betty
KY	1925	James	Mary
LA	1925	James	Mary
MA	1925	John	Mary
MD	1925	William	Mary
ME	1925	Robert	Mary
MI	1925	Robert	Mary
MN	1925	Robert	Mary
MO	1925	Robert	Mary
MS	1925	James	Mary
MT	1925	Robert	Mary
NC	1925	James	Mary
ND	1925	Robert	Dorothy
NE	1925	Robert	Betty
NH	1925	Robert	Mary
NJ	1925	John	Mary
NM	1925	Jose	Mary
NV	1925	Robert	Mary
NY	1925	John	Mary
OH	1925	Robert	Mary
OK	1925	James	Mary
OR	1925	Robert	Betty
PA	1925	John	Mary
RI	1925	John	Mary
SC	1925	James	Mary
SD	1925	Robert	Mary
TN	1925	James	Mary
TX	1925	James	Mary
UT	1925	Robert	Betty
VA	1925	James	Mary
VT	1925	Robert	Mary
WA	1925	Robert	Betty
WI	1925	Robert	Mary
WV	1925	James	Mary
WY	1925	Robert	Mary
AK	1926	John	Mary
AL	1926	James	Mary
AR	1926	James	Mary
AZ	1926	Robert	Mary
CA	1926	Robert	Mary
CO	1926	Robert	Mary
CT	1926	John	Mary
DE	1926	William	Mary
FL	1926	James	Mary
GA	1926	James	Mary
HI	1926	George	Mary
IA	1926	Robert	Betty
ID	1926	Robert	Betty
IL	1926	Robert	Mary
IN	1926	Robert	Mary
KS	1926	Robert	Betty
KY	1926	James	Mary
LA	1926	James	Mary
MA	1926	John	Mary
MD	1926	William	Mary
ME	1926	Robert	Mary
MI	1926	Robert	Mary
MN	1926	Robert	Mary
MO	1926	Robert	Mary
MS	1926	James	Mary
MT	1926	Robert	Mary
NC	1926	James	Mary
ND	1926	Robert	Dorothy
NE	1926	Robert	Betty
NH	1926	Robert	Mary
NJ	1926	John	Mary
NM	1926	Joe	Mary
NV	1926	Robert	Mary
NY	1926	John	Mary
OH	1926	Robert	Mary
OK	1926	James	Mary
OR	1926	Robert	Betty
PA	1926	John	Mary
RI	1926	John	Mary
SC	1926	James	Mary
SD	1926	Robert	Dorothy
TN	1926	James	Mary
TX	1926	James	Mary
UT	1926	Robert	Betty
VA	1926	James	Mary
VT	1926	Robert	Mary
WA	1926	Robert	Betty
WI	1926	Robert	Mary
WV	1926	James	Mary
WY	1926	Robert	Betty
AK	1927	John	Mary
AL	1927	James	Mary
AR	1927	James	Mary
AZ	1927	John	Mary
CA	1927	Robert	Mary
CO	1927	Robert	Mary
CT	1927	John	Mary
DE	1927	William	Mary
FL	1927	James	Mary
GA	1927	James	Mary
HI	1927	George	Helen
IA	1927	Robert	Mary
ID	1927	Robert	Betty
IL	1927	Robert	Mary
IN	1927	Robert	Mary
KS	1927	Robert	Mary
KY	1927	James	Mary
LA	1927	James	Mary
MA	1927	John	Mary
MD	1927	William	Mary
ME	1927	Robert	Mary
MI	1927	Robert	Mary
MN	1927	Robert	Mary
MO	1927	Robert	Mary
MS	1927	James	Mary
MT	1927	Robert	Mary
NC	1927	James	Mary
ND	1927	Robert	Mary
NE	1927	Robert	Betty
NH	1927	Robert	Mary
NJ	1927	John	Mary
NM	1927	Jose	Mary
NV	1927	Robert	Mary
NY	1927	John	Mary
OH	1927	Robert	Mary
OK	1927	James	Mary
OR	1927	Robert	Betty
