state	year	m	f
AL	1953	James	Mary
AR	1953	James	Linda
AZ	1953	David	Mary
CA	1953	Michael	Linda
CO	1953	David	Linda
CT	1953	John	Susan
DE	1953	John	Deborah
FL	1953	James	Linda
GA	1953	James	Mary
HI	1953	Michael	Debra
IA	1953	David	Mary
ID	1953	Michael	Debra
IL	1953	Michael	Mary
IN	1953	Michael	Linda
KS	1953	Michael	Debra
KY	1953	James	Mary
LA	1953	James	Mary
MA	1953	Robert	Susan
MD	1953	John	Deborah
ME	1953	Michael	Linda
MI	1953	Michael	Mary
MN	1953	Michael	Mary
MO	1953	Michael	Mary
MS	1953	James	Mary
MT	1953	James	Mary
NC	1953	James	Mary
ND	1953	David	Mary
NE	1953	Michael	Mary
NH	1953	Michael	Susan
NJ	1953	Robert	Patricia
NM	1953	Robert	Mary
NV	1953	Michael	Debra
NY	1953	Robert	Mary
OH	1953	Michael	Deborah
OK	1953	Michael	Linda
OR	1953	Michael	Linda
PA	1953	John	Mary
RI	1953	Robert	Deborah
SC	1953	James	Mary
SD	1953	David	Mary
TN	1953	James	Linda
TX	1953	James	Mary
UT	1953	David	Debra
VA	1953	James	Linda
VT	1953	Michael	Mary
WA	1953	Michael	Linda
WI	1953	Michael	Mary
WV	1953	James	Linda
WY	1953	Robert	Linda
AK	1954	Michael	Debra
AL	1954	James	Mary
AR	1954	James	Mary
AZ	1954	Robert	Mary
CA	1954	Michael	Linda
CO	1954	Michael	Debra
CT	1954	John	Susan
DE	1954	John	Deborah
FL	1954	James	Linda
GA	1954	James	Mary
HI	1954	Michael	Debra
IA	1954	David	Mary
ID	1954	Michael	Debra
IL	1954	Michael	Mary
IN	1954	Michael	Debra
KS	1954	Michael	Debra
KY	1954	James	Mary
LA	1954	James	Mary
MA	1954	Robert	Mary
MD	1954	Michael	Deborah
ME	1954	Michael	Susan
MI	1954	Michael	Mary
MN	1954	Michael	Mary
MO	1954	Michael	Mary
MS	1954	James	Mary
MT	1954	John	Mary
NC	1954	James	Deborah
ND	1954	David	Mary
NE	1954	Michael	Mary
NH	1954	David	Susan
NJ	1954	Robert	Patricia
NM	1954	Michael	Mary
NV	1954	Michael	Debra
NY	1954	Robert	Mary
OH	1954	Michael	Mary
OK	1954	David	Deborah
OR	1954	Michael	Debra
PA	1954	John	Mary
RI	1954	Robert	Deborah
SC	1954	James	Mary
SD	1954	Michael	Mary
TN	1954	James	Deborah
TX	1954	James	Mary
UT	1954	David	Debra
VA	1954	James	Deborah
VT	1954	Michael	Mary
WA	1954	Michael	Susan
WI	1954	Michael	Mary
WV	1954	James	Deborah
WY	1954	Michael	Mary
AK	1955	David	Debra
AL	1955	James	Mary
AR	1955	James	Mary
AZ	1955	David	Mary
CA	1955	Michael	Debra
CO	1955	Michael	Debra
CT	1955	Robert	Susan
DE	1955	John	Mary
FL	1955	James	Mary
GA	1955	James	Mary
HI	1955	Michael	Debra
IA	1955	David	Debra
ID	1955	Michael	Debra
IL	1955	Michael	Mary
IN	1955	David	Debra
KS	1955	David	Debra
KY	1955	James	Mary
LA	1955	James	Mary
MA	1955	John	Susan
MD	1955	Michael	Deborah
ME	1955	David	Susan
MI	1955	Michael	Mary
MN	1955	David	Mary
MO	1955	Michael	Mary
MS	1955	James	Mary
MT	1955	Robert	Mary
NC	1955	James	Mary
ND	1955	David	Mary
NE	1955	Michael	Debra
NH	1955	David	Susan
NJ	1955	Robert	Patricia
NM	1955	Robert	Mary
NV	1955	Michael	Debra
NY	1955	Robert	Susan
OH	1955	David	Deborah
OK	1955	David	Debra
OR	1955	David	Debra
PA	1955	John	Mary
RI	1955	Robert	Deborah
SC	1955	James	Mary
SD	1955	David	Mary
TN	1955	James	Deborah
TX	1955	David	Mary
UT	1955	David	Debra
VA	1955	James	Deborah
VT	1955	David	Susan
WA	1955	David	Susan
WI	1955	David	Mary
WV	1955	David	Deborah
WY	1955	David	Debra
AK	1956	Michael	Debra
AL	1956	James	Mary
AR	1956	James	Mary
AZ	1956	David	Mary
CA	1956	Michael	Susan
CO	1956	Michael	Debra
CT	1956	Robert	Susan
DE	1956	John	Deborah
FL	1956	James	Mary
GA	1956	James	Mary
HI	1956	Michael	Susan
IA	1956	David	Debra
ID	1956	David	Debra
IL	1956	Michael	Mary
IN	1956	Michael	Debra
KS	1956	Michael	Debra
KY	1956	James	Mary
LA	1956	James	Mary
MA	1956	John	Susan
MD	1956	Michael	Deborah
ME	1956	Michael	Susan
MI	1956	Michael	Mary
MN	1956	David	Mary
MO	1956	Michael	Mary
MS	1956	James	Mary
MT	1956	Robert	Mary
NC	1956	James	Deborah
ND	1956	David	Mary
NE	1956	Michael	Mary
NH	1956	Michael	Susan
NJ	1956	Robert	Mary
NM	1956	Michael	Mary
NV	1956	Michael	Debra
NY	1956	Michael	Susan
OH	1956	Michael	Mary
OK	1956	David	Debra
OR	1956	Michael	Debra
PA	1956	John	Mary
RI	1956	Robert	Susan
SC	1956	James	Mary
SD	1956	Michael	Debra
TN	1956	James	Deborah
TX	1956	David	Mary
UT	1956	David	Debra
VA	1956	James	Deborah
VT	1956	Michael	Susan
WA	1956	Michael	Susan
WI	1956	Michael	Mary
WV	1956	James	Debra
WY	1956	Robert	Debra
AK	1957	John	Mary
AL	1957	James	Mary
AR	1957	James	Mary
AZ	1957	David	Mary
CA	1957	Michael	Susan
CO	1957	Michael	Debra
CT	1957	Michael	Susan
DE	1957	John	Deborah
FL	1957	James	Mary
GA	1957	James	Mary
HI	1957	Michael	Karen
IA	1957	David	Mary
ID	1957	Michael	Debra
IL	1957	Michael	Mary
IN	1957	Michael	Mary
KS	1957	Michael	Debra
KY	1957	James	Mary
LA	1957	Michael	Mary
MA	1957	John	Susan
MD	1957	Michael	Deborah
ME	1957	Michael	Susan
MI	1957	Michael	Mary
MN	1957	David	Mary
MO	1957	Michael	Mary
MS	1957	James	Mary
MT	1957	David	Mary
NC	1957	James	Mary
ND	1957	David	Mary
NE	1957	Michael	Mary
NH	1957	Michael	Susan
NJ	1957	Robert	Susan
NM	1957	Michael	Mary
NV	1957	Michael	Linda
NY	1957	Michael	Mary
OH	1957	Michael	Mary
OK	1957	David	Debra
OR	1957	David	Susan
PA	1957	John	Mary
RI	1957	Robert	Susan
SC	1957	James	Mary
SD	1957	Michael	Debra
TN	1957	James	Mary
TX	1957	David	Mary
UT	1957	David	Cindy
VA	1957	James	Mary
VT	1957	David	Mary
WA	1957	Michael	Susan
WI	1957	Michael	Mary
WV	1957	James	Debra
WY	1957	Michael	Mary
AK	1958	Michael	Mary
AL	1958	James	Mary
AR	1958	James	Mary
AZ	1958	Robert	Mary
CA	1958	Michael	Susan
CO	1958	Michael	Mary
CT	1958	Michael	Susan
DE	1958	Michael	Mary
FL	1958	James	Mary
GA	1958	James	Mary
HI	1958	Michael	Susan
IA	1958	David	Mary
ID	1958	Michael	Julie
IL	1958	Michael	Mary
IN	1958	Michael	Mary
KS	1958	David	Debra
KY	1958	James	Mary
LA	1958	Michael	Mary
MA	1958	John	Susan
MD	1958	Michael	Mary
ME	1958	Michael	Susan
MI	1958	Michael	Mary
MN	1958	Michael	Mary
MO	1958	Michael	Mary
MS	1958	James	Mary
MT	1958	David	Mary
NC	1958	James	Mary
ND	1958	David	Mary
NE	1958	Michael	Mary
NH	1958	Michael	Susan
NJ	1958	John	Susan
NM	1958	David	Mary
NV	1958	Michael	Susan
NY	1958	Michael	Susan
OH	1958	David	Mary
OK	1958	David	Mary
OR	1958	David	Julie
PA	1958	John	Mary
RI	1958	Michael	Susan
SC	1958	James	Mary
SD	1958	David	Mary
TN	1958	James	Mary
TX	1958	David	Mary
UT	1958	David	Julie
VA	1958	James	Mary
VT	1958	Michael	Susan
WA	1958	David	Susan
WI	1958	Michael	Mary
WV	1958	David	Debra
WY	1958	David	Mary
AK	1959	John	Mary
AL	1959	James	Mary
AR	1959	James	Mary
AZ	1959	David	Mary
CA	1959	David	Mary
CO	1959	David	Mary
CT	1959	John	Susan
DE	1959	John	Mary
FL	1959	James	Mary
GA	1959	James	Mary
HI	1959	Michael	Susan
IA	1959	David	Mary
ID	1959	David	Susan
IL	1959	Michael	Mary
IN	1959	David	Mary
KS	1959	David	Mary
KY	1959	James	Mary
LA	1959	Michael	Mary
MA	1959	John	Susan
MD	1959	Michael	Mary
ME	1959	David	Susan
MI	1959	David	Mary
MN	1959	David	Mary
MO	1959	Michael	Mary
MS	1959	James	Mary
MT	1959	David	Mary
NC	1959	James	Mary
ND	1959	David	Mary
NE	1959	Michael	Mary
NH	1959	David	Susan
NJ	1959	John	Donna
NM	1959	David	Mary
NV	1959	Michael	Linda
NY	1959	John	Mary
OH	1959	David	Mary
OK	1959	David	Mary
OR	1959	David	Susan
PA	1959	John	Mary
RI	1959	Michael	Donna
SC	1959	James	Mary
SD	1959	David	Mary
TN	1959	James	Mary
TX	1959	David	Mary
UT	1959	David	Julie
VA	1959	James	Mary
VT	1959	Michael	Susan
WA	1959	David	Mary
WI	1959	David	Mary
WV	1959	James	Mary
WY	1959	David	Susan
AK	1960	David	Mary
AL	1960	James	Mary
AR	1960	James	Mary
AZ	1960	David	Mary
CA	1960	David	Karen
CO	1960	David	Mary
CT	1960	John	Susan
DE	1960	David	Donna
FL	1960	James	Mary
GA	1960	James	Mary
HI	1960	David	Susan
IA	1960	David	Mary
ID	1960	David	Lori
IL	1960	Michael	Mary
IN	1960	David	Mary
KS	1960	David	Mary
KY	1960	James	Mary
LA	1960	Michael	Mary
MA	1960	John	Susan
MD	1960	Michael	Mary
ME	1960	David	Susan
MI	1960	David	Mary
MN	1960	David	Mary
MO	1960	David	Mary
MS	1960	James	Mary
MT	1960	David	Mary
NC	1960	James	Donna
ND	1960	David	Mary
NE	1960	Michael	Mary
NH	1960	David	Susan
NJ	1960	John	Donna
NM	1960	David	Mary
NV	1960	Robert	Lisa
NY	1960	Michael	Mary
OH	1960	David	Mary
OK	1960	David	Mary
OR	1960	David	Susan
PA	1960	John	Mary
RI	1960	Michael	Donna
SC	1960	James	Mary
SD	1960	David	Mary
TN	1960	James	Mary
TX	1960	David	Mary
UT	1960	David	Julie
VA	1960	James	Mary
VT	1960	Michael	Susan
WA	1960	David	Susan
WI	1960	David	Mary
WV	1960	David	Mary
WY	1960	David	Mary
AK	1961	David	Mary
AL	1961	James	Mary
AR	1961	James	Mary
AZ	1961	David	Mary
CA	1961	David	Lisa
CO	1961	David	Mary
CT	1961	Michael	Lisa
DE	1961	John	Mary
FL	1961	James	Mary
GA	1961	James	Mary
HI	1961	Michael	Lisa
IA	1961	David	Lori
ID	1961	David	Lisa
IL	1961	Michael	Mary
IN	1961	David	Lisa
KS	1961	David	Lisa
KY	1961	James	Mary
LA	1961	Michael	Mary
MA	1961	John	Susan
MD	1961	Michael	Mary
ME	1961	David	Lisa
MI	1961	David	Mary
MN	1961	David	Mary
MO	1961	David	Mary
MS	1961	James	Mary
MT	1961	David	Mary
NC	1961	James	Mary
ND	1961	David	Mary
NE	1961	Michael	Mary
NH	1961	Michael	Lisa
NJ	1961	John	Susan
NM	1961	David	Mary
NV	1961	Michael	Lisa
NY	1961	Michael	Mary
OH	1961	David	Mary
OK	1961	David	Lisa
OR	1961	David	Lisa
PA	1961	John	Mary
RI	1961	Michael	Susan
SC	1961	James	Mary
SD	1961	David	Lori
TN	1961	James	Lisa
TX	1961	David	Mary
UT	1961	David	Lisa
VA	1961	James	Mary
VT	1961	David	Lisa
WA	1961	David	Lisa
WI	1961	David	Mary
WV	1961	David	Mary
WY	1961	John	Brenda
AK	1962	John	Mary
AL	1962	James	Mary
AR	1962	James	Mary
AZ	1962	David	Mary
CA	1962	David	Lisa
CO	1962	David	Lisa
CT	1962	John	Lisa
DE	1962	John	Lisa
FL	1962	James	Lisa
GA	1962	James	Mary
HI	1962	Michael	Lisa
IA	1962	David	Lisa
ID	1962	David	Lori
IL	1962	Michael	Mary
IN	1962	David	Lisa
KS	1962	David	Lisa
KY	1962	James	Mary
LA	1962	Michael	Mary
MA	1962	John	Lisa
MD	1962	John	Mary
ME	1962	David	Lisa
MI	1962	David	Mary
MN	1962	David	Mary
MO	1962	David	Mary
MS	1962	James	Mary
MT	1962	David	Lisa
NC	1962	James	Lisa
ND	1962	David	Lori
NE	1962	Michael	Lori
NH	1962	David	Lisa
NJ	1962	John	Lisa
NM	1962	David	Mary
NV	1962	Michael	Lisa
NY	1962	Michael	Lisa
OH	1962	David	Lisa
OK	1962	David	Lisa
OR	1962	David	Lisa
PA	1962	John	Lisa
RI	1962	Michael	Susan
SC	1962	James	Mary
SD	1962	David	Lori
TN	1962	James	Lisa
TX	1962	David	Mary
UT	1962	David	Lisa
VA	1962	James	Mary
VT	1962	Michael	Lisa
WA	1962	Michael	Lisa
WI	1962	Michael	Mary
WV	1962	David	Mary
WY	1962	David	Lisa
AK	1963	David	Mary
AL	1963	James	Lisa
AR	1963	James	Lisa
AZ	1963	David	Lisa
CA	1963	Michael	Lisa
CO	1963	Michael	Lisa
CT	1963	John	Lisa
DE	1963	David	Lisa
FL	1963	James	Lisa
GA	1963	James	Lisa
HI	1963	Michael	Lisa
IA	1963	David	Lisa
ID	1963	Michael	Lisa
IL	1963	Michael	Lisa
IN	1963	David	Lisa
KS	1963	David	Lisa
KY	1963	James	Lisa
LA	1963	Michael	Lisa
MA	1963	John	Lisa
MD	1963	Michael	Lisa
ME	1963	David	Lisa
MI	1963	Michael	Lisa
MN	1963	Michael	Mary
MO	1963	David	Lisa
MS	1963	James	Mary
MT	1963	John	Lisa
NC	1963	James	Lisa
ND	1963	David	Lisa
NE	1963	Michael	Lisa
NH	1963	David	Lisa
NJ	1963	John	Lisa
NM	1963	Michael	Mary
NV	1963	Michael	Lisa
NY	1963	Michael	Lisa
OH	1963	David	Lisa
OK	1963	David	Lisa
OR	1963	David	Lisa
PA	1963	John	Lisa
RI	1963	Michael	Lisa
SC	1963	James	Mary
SD	1963	Michael	Lisa
TN	1963	James	Lisa
TX	1963	David	Lisa
UT	1963	David	Lisa
VA	1963	James	Lisa
VT	1963	David	Lisa
WA	1963	Michael	Lisa
WI	1963	Michael	Mary
WV	1963	James	Lisa
WY	1963	Michael	Lisa
AK	1964	John	Mary
AL	1964	James	Lisa
AR	1964	James	Lisa
AZ	1964	David	Mary
CA	1964	Michael	Lisa
CO	1964	Michael	Lisa
CT	1964	John	Lisa
DE	1964	John	Lisa
FL	1964	James	Lisa
GA	1964	James	Lisa
HI	1964	Michael	Lisa
IA	1964	David	Lisa
ID	1964	David	Lisa
IL	1964	Michael	Lisa
IN	1964	David	Lisa
KS	1964	David	Lisa
KY	1964	James	Lisa
LA	1964	John	Lisa
MA	1964	John	Lisa
MD	1964	John	Lisa
ME	1964	Michael	Lisa
MI	1964	Michael	Lisa
MN	1964	David	Mary
MO	1964	John	Lisa
MS	1964	James	Mary
MT	1964	Michael	Lisa
NC	1964	James	Lisa
ND	1964	David	Lisa
NE	1964	Michael	Mary
NH	1964	David	Lisa
NJ	1964	John	Lisa
NM	1964	Michael	Mary
NV	1964	Michael	Lisa
NY	1964	John	Lisa
OH	1964	Michael	Lisa
OK	1964	David	Lisa
OR	1964	David	Lisa
PA	1964	John	Lisa
RI	1964	Michael	Lisa
SC	1964	James	Mary
SD	1964	Michael	Lisa
TN	1964	James	Lisa
TX	1964	David	Mary
UT	1964	David	Lisa
VA	1964	James	Lisa
VT	1964	Michael	Lisa
WA	1964	David	Lisa
WI	1964	Michael	Lisa
WV	1964	James	Lisa
WY	1964	John	Lisa
AK	1965	John	Lisa
AL	1965	James	Lisa
AR	1965	James	Lisa
AZ	1965	Michael	Lisa
CA	1965	Michael	Lisa
CO	1965	Michael	Lisa
CT	1965	Michael	Lisa
DE	1965	John	Lisa
FL	1965	Michael	Lisa
GA	1965	James	Lisa
HI	1965	Michael	Lisa
IA	1965	Michael	Lisa
ID	1965	Michael	Lisa
IL	1965	Michael	Lisa
IN	1965	Michael	Lisa
KS	1965	Michael	Lisa
KY	1965	James	Lisa
LA	1965	Michael	Lisa
MA	1965	Michael	Lisa
MD	1965	Michael	Lisa
ME	1965	Michael	Lisa
MI	1965	Michael	Lisa
MN	1965	Michael	Lisa
MO	1965	Michael	Lisa
MS	1965	James	Lisa
MT	1965	Michael	Lisa
NC	1965	James	Lisa
ND	1965	Michael	Lisa
NE	1965	Michael	Lisa
NH	1965	Michael	Lisa
NJ	1965	Michael	Lisa
NM	1965	Michael	Lisa
NV	1965	Michael	Lisa
NY	1965	Michael	Lisa
OH	1965	Michael	Lisa
OK	1965	Michael	Lisa
OR	1965	Michael	Lisa
PA	1965	Michael	Lisa
RI	1965	Michael	Lisa
SC	1965	James	Lisa
SD	1965	Michael	Lisa
TN	1965	James	Lisa
TX	1965	David	Lisa
UT	1965	David	Lisa
VA	1965	James	Lisa
VT	1965	Michael	Lisa
WA	1965	Michael	Lisa
WI	1965	Michael	Lisa
WV	1965	James	Lisa
WY	1965	Michael	Lisa
AK	1966	Michael	Mary
AL	1966	James	Lisa
AR	1966	James	Lisa
AZ	1966	Michael	Lisa
CA	1966	Michael	Lisa
CO	1966	Michael	Lisa
CT	1966	Michael	Lisa
DE	1966	Michael	Lisa
FL	1966	James	Lisa
GA	1966	James	Lisa
HI	1966	Michael	Lisa
IA	1966	Michael	Lisa
ID	1966	Michael	Lisa
IL	1966	Michael	Lisa
IN	1966	Michael	Lisa
KS	1966	Michael	Lisa
KY	1966	James	Lisa
LA	1966	Michael	Lisa
MA	1966	Michael	Lisa
MD	1966	Michael	Lisa
ME	1966	Michael	Lisa
MI	1966	Michael	Lisa
MN	1966	Michael	Lisa
MO	1966	Michael	Lisa
MS	1966	James	Lisa
MT	1966	Michael	Lisa
NC	1966	James	Lisa
ND	1966	Michael	Lisa
NE	1966	Michael	Lisa
NH	1966	Michael	Lisa
NJ	1966	Michael	Lisa
NM	1966	David	Lisa
NV	1966	Michael	Lisa
NY	1966	Michael	Lisa
OH	1966	Michael	Lisa
OK	1966	Michael	Lisa
OR	1966	Michael	Lisa
PA	1966	Michael	Lisa
RI	1966	Michael	Lisa
SC	1966	James	Lisa
SD	1966	Michael	Lisa
TN	1966	James	Lisa
TX	1966	David	Lisa
UT	1966	David	Lisa
VA	1966	James	Lisa
VT	1966	Michael	Lisa
WA	1966	Michael	Lisa
WI	1966	Michael	Lisa
WV	1966	James	Lisa
WY	1966	Michael	Lisa
AK	1967	David	Lisa
AL	1967	James	Lisa
AR	1967	James	Lisa
AZ	1967	Michael	Lisa
CA	1967	Michael	Lisa
CO	1967	Michael	Michelle
CT	1967	Michael	Lisa
DE	1967	Michael	Lisa
FL	1967	Michael	Lisa
GA	1967	James	Lisa
HI	1967	Michael	Lisa
IA	1967	Michael	Lisa
ID	1967	Michael	Lisa
IL	1967	Michael	Lisa
IN	1967	Michael	Lisa
KS	1967	Michael	Lisa
KY	1967	James	Lisa
LA	1967	Michael	Lisa
MA	1967	Michael	Lisa
MD	1967	Michael	Lisa
ME	1967	Michael	Lisa
MI	1967	Michael	Lisa
MN	1967	Michael	Lisa
MO	1967	Michael	Lisa
MS	1967	James	Mary
MT	1967	Michael	Lisa
NC	1967	James	Lisa
ND	1967	Michael	Lisa
NE	1967	Michael	Lisa
NH	1967	Michael	Lisa
NJ	1967	Michael	Lisa
NM	1967	Michael	Lisa
NV	1967	Michael	Lisa
NY	1967	Michael	Lisa
OH	1967	Michael	Lisa
OK	1967	Michael	Lisa
OR	1967	Michael	Lisa
PA	1967	Michael	Lisa
RI	1967	Michael	Lisa
SC	1967	James	Lisa
SD	1967	Michael	Lisa
TN	1967	James	Lisa
TX	1967	Michael	Lisa
UT	1967	Michael	Lisa
VA	1967	Michael	Lisa
VT	1967	Michael	Lisa
WA	1967	Michael	Lisa
WI	1967	Michael	Lisa
WV	1967	James	Lisa
WY	1967	Michael	Lisa
AK	1968	John	Michelle
AL	1968	James	Lisa
AR	1968	James	Lisa
AZ	1968	Michael	Michelle
CA	1968	Michael	Lisa
CO	1968	Michael	Michelle
CT	1968	Michael	Lisa
DE	1968	Michael	Lisa
FL	1968	Michael	Lisa
GA	1968	James	Lisa
HI	1968	Michael	Michelle
IA	1968	Michael	Lisa
ID	1968	Michael	Michelle
IL	1968	Michael	Lisa
IN	1968	Michael	Lisa
KS	1968	Michael	Michelle
KY	1968	James	Lisa
LA	1968	Michael	Lisa
MA	1968	Michael	Lisa
MD	1968	Michael	Lisa
ME	1968	Michael	Lisa
MI	1968	Michael	Lisa
MN	1968	Michael	Lisa
MO	1968	Michael	Lisa
MS	1968	James	Angela
MT	1968	Michael	Lisa
NC	1968	James	Lisa
ND	1968	Michael	Lisa
NE	1968	Michael	Lisa
NH	1968	Michael	Lisa
NJ	1968	Michael	Lisa
NM	1968	Michael	Lisa
NV	1968	Michael	Lisa
NY	1968	Michael	Lisa
OH	1968	Michael	Lisa
OK	1968	Michael	Lisa
OR	1968	Michael	Lisa
PA	1968	Michael	Lisa
RI	1968	Michael	Lisa
SC	1968	James	Lisa
SD	1968	Michael	Lisa
TN	1968	James	Lisa
TX	1968	Michael	Lisa
UT	1968	Michael	Lisa
VA	1968	Michael	Lisa
VT	1968	Michael	Lisa
WA	1968	Michael	Lisa
WI	1968	Michael	Lisa
WV	1968	James	Lisa
WY	1968	Michael	Lisa
AK	1969	Michael	Michelle
AL	1969	James	Kimberly
AR	1969	Michael	Lisa
AZ	1969	Michael	Lisa
CA	1969	Michael	Lisa
CO	1969	Michael	Michelle
CT	1969	Michael	Lisa
DE	1969	Michael	Kimberly
FL	1969	Michael	Lisa
GA	1969	James	Lisa
HI	1969	Michael	Michelle
IA	1969	Michael	Michelle
ID	1969	Michael	Lisa
IL	1969	Michael	Lisa
IN	1969	Michael	Lisa
KS	1969	Michael	Michelle
KY	1969	James	Lisa
LA	1969	Michael	Lisa
MA	1969	Michael	Lisa
MD	1969	Michael	Lisa
ME	1969	Michael	Lisa
MI	1969	Michael	Lisa
MN	1969	Michael	Lisa
MO	1969	Michael	Lisa
MS	1969	James	Angela
MT	1969	Michael	Lisa
NC	1969	James	Lisa
ND	1969	Michael	Michelle
NE	1969	Michael	Michelle
NH	1969	Michael	Lisa
NJ	1969	Michael	Lisa
NM	1969	Michael	Michelle
NV	1969	Michael	Michelle
NY	1969	Michael	Lisa
OH	1969	Michael	Lisa
OK	1969	Michael	Lisa
OR	1969	Michael	Michelle
PA	1969	Michael	Lisa
RI	1969	Michael	Lisa
SC	1969	James	Lisa
SD	1969	Michael	Lisa
TN	1969	James	Lisa
TX	1969	Michael	Lisa
UT	1969	Michael	Jennifer
VA	1969	Michael	Lisa
VT	1969	Michael	Lisa
WA	1969	Michael	Michelle
WI	1969	Michael	Lisa
WV	1969	James	Lisa
WY	1969	Michael	Michelle
AK	1970	Michael	Jennifer
AL	1970	James	Kimberly
AR	1970	James	Kimberly
AZ	1970	Michael	Jennifer
CA	1970	Michael	Jennifer
CO	1970	Michael	Jennifer
CT	1970	Michael	Jennifer
DE	1970	Michael	Jennifer
FL	1970	Michael	Jennifer
GA	1970	Michael	Kimberly
HI	1970	Michael	Michelle
IA	1970	Michael	Jennifer
ID	1970	Michael	Jennifer
IL	1970	Michael	Jennifer
IN	1970	Michael	Jennifer
KS	1970	Michael	Jennifer
KY	1970	James	Melissa
LA	1970	Michael	Angela
MA	1970	Michael	Jennifer
MD	1970	Michael	Kimberly
ME	1970	Michael	Jennifer
MI	1970	Michael	Jennifer
MN	1970	Michael	Jennifer
MO	1970	Michael	Kimberly
MS	1970	James	Angela
MT	1970	Michael	Michelle
NC	1970	Michael	Angela
ND	1970	Michael	Michelle
NE	1970	Michael	Jennifer
NH	1970	Michael	Jennifer
NJ	1970	Michael	Jennifer
NM	1970	Michael	Michelle
NV	1970	Michael	Jennifer
NY	1970	Michael	Jennifer
OH	1970	Michael	Jennifer
OK	1970	Michael	Kimberly
OR	1970	Michael	Jennifer
PA	1970	Michael	Jennifer
RI	1970	Michael	Jennifer
SC	1970	James	Angela
SD	1970	Michael	Lisa
TN	1970	James	Angela
TX	1970	Michael	Jennifer
UT	1970	David	Jennifer
VA	1970	Michael	Kimberly
VT	1970	Michael	Jennifer
WA	1970	Michael	Jennifer
WI	1970	Michael	Jennifer
WV	1970	Michael	Melissa
WY	1970	Michael	Kimberly
AK	1971	John	Jennifer
AL	1971	Michael	Jennifer
AR	1971	Michael	Angela
AZ	1971	Michael	Jennifer
CA	1971	Michael	Jennifer
CO	1971	Michael	Jennifer
CT	1971	Michael	Jennifer
DE	1971	Michael	Jennifer
FL	1971	Michael	Jennifer
GA	1971	Michael	Jennifer
HI	1971	Michael	Jennifer
IA	1971	Michael	Jennifer
ID	1971	Michael	Jennifer
IL	1971	Michael	Jennifer
IN	1971	Michael	Jennifer
KS	1971	Michael	Jennifer
KY	1971	James	Jennifer
LA	1971	Michael	Jennifer
MA	1971	Michael	Jennifer
MD	1971	Michael	Jennifer
ME	1971	Michael	Jennifer
MI	1971	Michael	Jennifer
MN	1971	Michael	Jennifer
MO	1971	Michael	Jennifer
MS	1971	James	Angela
MT	1971	Michael	Jennifer
NC	1971	Michael	Angela
ND	1971	Jason	Jennifer
NE	1971	Michael	Jennifer
NH	1971	Michael	Jennifer
NJ	1971	Michael	Jennifer
NM	1971	Michael	Michelle
NV	1971	Michael	Jennifer
NY	1971	Michael	Jennifer
OH	1971	Michael	Jennifer
OK	1971	Michael	Jennifer
OR	1971	Michael	Jennifer
PA	1971	Michael	Jennifer
RI	1971	Michael	Jennifer
SC	1971	James	Angela
SD	1971	Michael	Jennifer
TN	1971	James	Angela
TX	1971	Michael	Jennifer
UT	1971	Michael	Jennifer
VA	1971	Michael	Jennifer
VT	1971	Michael	Jennifer
WA	1971	Michael	Jennifer
WI	1971	Michael	Jennifer
WV	1971	James	Melissa
WY	1971	Michael	Jennifer
AK	1972	Michael	Jennifer
AL	1972	Michael	Jennifer
AR	1972	Michael	Jennifer
AZ	1972	Michael	Jennifer
CA	1972	Michael	Jennifer
CO	1972	Michael	Jennifer
CT	1972	Michael	Jennifer
DE	1972	Michael	Jennifer
FL	1972	Michael	Jennifer
GA	1972	Michael	Jennifer
HI	1972	Michael	Jennifer
IA	1972	Jason	Jennifer
ID	1972	Jason	Jennifer
IL	1972	Michael	Jennifer
IN	1972	Michael	Jennifer
KS	1972	Michael	Jennifer
KY	1972	James	Jennifer
LA	1972	Michael	Jennifer
MA	1972	Michael	Jennifer
MD	1972	Michael	Jennifer
ME	1972	Christopher	Jennifer
MI	1972	Michael	Jennifer
MN	1972	Jason	Jennifer
MO	1972	Michael	Jennifer
MS	1972	James	Angela
MT	1972	Michael	Jennifer
NC	1972	Michael	Jennifer
ND	1972	Jason	Jennifer
NE	1972	Michael	Jennifer
NH	1972	Christopher	Jennifer
NJ	1972	Michael	Jennifer
NM	1972	Michael	Jennifer
NV	1972	Michael	Jennifer
NY	1972	Michael	Jennifer
OH	1972	Michael	Jennifer
OK	1972	Michael	Jennifer
OR	1972	Jason	Jennifer
PA	1972	Michael	Jennifer
RI	1972	Michael	Jennifer
SC	1972	James	Angela
SD	1972	Jason	Jennifer
TN	1972	Michael	Jennifer
TX	1972	Michael	Jennifer
UT	1972	Michael	Jennifer
VA	1972	Michael	Jennifer
VT	1972	Jason	Jennifer
WA	1972	Michael	Jennifer
WI	1972	Michael	Jennifer
WV	1972	Michael	Melissa
WY	1972	Michael	Jennifer
AK	1973	Michael	Jennifer
AL	1973	Christopher	Jennifer
AR	1973	Michael	Jennifer
AZ	1973	Michael	Jennifer
CA	1973	Michael	Jennifer
CO	1973	Michael	Jennifer
CT	1973	Michael	Jennifer
DE	1973	Michael	Jennifer
FL	1973	Michael	Jennifer
GA	1973	Michael	Jennifer
HI	1973	Michael	Jennifer
IA	1973	Jason	Jennifer
